Unnamed: 0.1,Unnamed: 0,asin,reviewerID,reviewText,rank,0,1,2,3,average_rating,price,sentiment_score,sentiment_label
0,0,B00Q7WU7LC,A299XFV0LPNYX,"So I was extremely excited to try out this product but when I received it, it already made creaking noises when the mouth is opened. In addition, the strap handles hit the neck of the instrument and make noise when applying the tremolo effect and these handles were non-removable. Other than that, it is still a very fun instrument but I am quite disappointed in these two faults.
Update: After 10 minutes of play, it no longer works at all. Happy birthday to me I suppose. Return request sent.",1,0.185884455,0.001615279,0.02797556,0.01475166,4.405347594,112.2607884,0.138,Positive
1,1,B00Q7WU7LC,A2JLIBNAM9T8RT,Very fun to play.,1,0.084795346,0.02468511,0.088203426,0.115404929,4.405347594,112.2607884,0.39,Positive
2,2,B00Q7WU7LC,AAFV7NP2QUTD7,"Arrived quickly, and works very well. My son loves this and enjoys making music with it. It is a unique and fun toy!",1,0.088195803,0.035961442,0.079386269,0.063749013,4.405347594,112.2607884,0.320833333,Positive
3,3,B00Q7WU7LC,A33D17C5D6T70R,"Got it and I love it! The sound truely is unique! However, this will take some time and getting used to. If you're a musician, you could understand this is just part of the process. I would not recommend the delux unless you are a musician whom plans on playing it often- There aren't any frets or anything indicating the notes on the instrument for any octave. However, you could use stickers as I have seen some do.
Overall, I enjoy the heck out of this guy and I even plugged it up to my amp and ran some effects through it making it sound even better!
Keep in mind, The sound alone is not very loud unless you plug it up to something.",1,4.41E-306,1,4.75E-306,4.38E-306,4.405347594,112.2607884,0.364476496,Positive
4,4,B00Q7WU7LC,A2H571TGPPT8VG,No sound  soon as I turned on. It wasn't even packaged properly... and yes the batteries are correctly put in,1,0.501808785,0.006358307,0.102484633,0.058755127,4.405347594,112.2607884,-0.1,Neutral
5,5,B00Q7WU7LC,A2JU6DZ3TQG5RJ,"Arrived, worked for five minutes, then wouldnt play. Very disappointed. It wasn't the batteries, as we tested them and also tried new ones. It came in a giant box with no packing material, not sure if it got banged around too much or was just defective.",1,0.289085265,0.004236253,0.07296078,0.039873701,4.405347594,112.2607884,-0.177727273,Negative
6,6,B00Q7WU7LC,A1UAZ0T2H827FL,It is a big hit!! My son loves it and now my niece wants one,1,3.03E-306,1.12E-306,2.65E-306,2.16E-306,4.405347594,112.2607884,0.1,Neutral
7,7,B00Q7WU7LC,A2FIKJYLPDHM7J,"This is one of the stupidest things I've ever bought online, and I absolutely do NOT regret it. These things are practically the modern-day recorder, and they're absolutely delightful. I've also found it's extremely fun to annoy people with this. The only thing I still don't get about it is the DC 5V jack - why does it have one? Is it there in case you use rechargeable batteries, or...? A bit useless if not. But still, not a big deal.
To anyone who has just bought one and hasn't gotten it or opened it yet, use a coin to open the battery compartment. That confused me, too.",1,8.64E-306,3.48E-307,7.54E-306,3.85E-306,4.405347594,112.2607884,0.0375,Neutral
8,8,B00Q7WU7LC,A1R7LQU0NZISOT,"It scream. 10/10

The one downside is that the headphone jack doesn't, as I thought it would, actually send all the audio through the headphones instead of the speakers so you can practice silently; instead, it acts more like a monitor, so the sound plays through both the built-in speaker and the headphones.

Easier to play than the standard otamatone. If you get some vibrato in there, it can almost sound like a weird electric violin. As a cellist, I was able to pick this guy up and play some mostly-in-tune things, but if you're not a string musician, this will take time to master.",1,0.696100303,0.008707953,0.088694813,0.06980753,4.405347594,112.2607884,0.1625,Positive
9,9,B00Q7WU7LC,A38AAIA074FYEA,"Fun, but mine was missing the strap/lanyard.",1,0.219664072,0.01281525,0.170307802,0.380925808,4.405347594,112.2607884,0.05,Neutral
10,10,B00Q7WU7LC,A4766HGTI5800,"Almost impossible to play, I play music by ear and I can pick up most anything. This takes a lot of practice and its so easy to hit the wrong note. Its like trying to play jingle bells with a slide whistle",1,4.43E-306,1,4.78E-306,4.48E-306,4.405347594,112.2607884,-0.058333333,Neutral
11,11,B00Q7WU7LC,A1B001KWWJ60FA,My son absolutely loves this! He know uses it to mock everything I say! LOL! Glad hes having fun with it.,1,3.03E-306,1.13E-306,2.67E-306,2.18E-306,4.405347594,112.2607884,0.528125,Positive
12,12,B00Q7WU7LC,A23H4H01K3ZIIJ,"The only bad thing is not having marks to know where to put your fingers, which means you NEED a trained ear.",1,7.02E-306,3.83E-307,5.73E-306,1,4.405347594,112.2607884,-0.35,Negative
